State & Year,State,Year,Total_Population,Population Less Than 18,White,Black,Native,Asian,Hispanic,Others,Annual median household income,Mother Participation in Labor Force,Percentage of married-couple households with children under 18,Public_Enrollment,Public_rate,Public_Estimate,Private_Enrollment,Private_rate,Private_Estimate,Private/Public_ratio,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,Unaffiliated (religious "nones"),Don't know,Sample size,Number Hospitals,Staffed Beds,Total Discharges,Patient Days,Gross Patient Revenue ($000)
"Alabama, 1990",Alabama,1990,4048508,1050041,73.26%,25.19%,0.40%,0.53%,0.61%,,,61.8%,,721806,0.687407444,721806,,0.074044243,77749.4908,0.107715218,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1991",Alabama,1991,4091025,1060794,73.18%,25.26%,0.40%,0.55%,0.62%,,,,,,0.673388211,714326.1735,,0.074044243,78545.68855,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1992",Alabama,1992,4139269,1072873,73.04%,25.38%,0.38%,0.56%,0.64%,,,,,,0.673388211,722460.0296,,0.074044243,79440.06896,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1993",Alabama,1993,4193114,1085606,72.90%,25.48%,0.37%,0.58%,0.67%,,26453,,,,0.673388211,731034.2817,,0.074044243,80382.8743,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1994",Alabama,1994,4232965,1097180,72.72%,25.60%,0.36%,0.59%,0.72%,,27967,,,,0.673388211,738828.0769,,0.074044243,81239.86237,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1995",Alabama,1995,4262731,1110553,72.57%,25.69%,0.35%,0.61%,0.78%,,25991,,,,0.673388211,747833.2974,,0.074044243,82230.05603,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1996",Alabama,1996,4290403,1112092,72.47%,25.72%,0.35%,0.62%,0.84%,,28618,,,,0.673388211,748869.6419,,0.074044243,82344.01012,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1997",Alabama,1997,4320281,1122893,72.29%,25.84%,0.34%,0.62%,0.91%,,30103,,,,0.673388211,756142.9079,,0.074044243,83143.76198,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1998",Alabama,1998,4351037,1118252,72.19%,25.89%,0.33%,0.62%,0.98%,,33394,,,,0.673388211,753017.7133,,0.074044243,82800.12265,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 1999",Alabama,1999,4369862,1121287,72.07%,25.95%,0.32%,0.62%,1.04%,,35478,,,,0.673388211,755061.4465,,0.074044243,83024.84693,0.109957736,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2000",Alabama,2000,4452173,1122273,70.33%,25.92%,0.53%,0.72%,1.73%,0.79%,33105,,,739992,0.659368977,739992,,0.074044243,83097.85455,0.112295612,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2001",Alabama,2001,4467634,1120409,70.02%,25.96%,0.54%,0.75%,1.92%,0.83%,35160,,,,0.660935439,740518.0147,,0.074044243,82959.83609,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2002",Alabama,2002,4480089,1116590,69.74%,25.97%,0.54%,0.78%,2.10%,0.87%,36771,,,,0.660935439,737993.9023,,0.074044243,82677.06112,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2003",Alabama,2003,4503491,1113083,69.45%,25.98%,0.56%,0.82%,2.30%,0.91%,37419,,,,0.660935439,735676.0017,,0.074044243,82417.38796,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2004",Alabama,2004,4530729,1113662,69.13%,25.99%,0.56%,0.88%,2.50%,0.95%,39831.93962,,,,0.660935439,736058.6833,,0.074044243,82460.25958,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2005",Alabama,2005,4569805,1117229,68.81%,25.99%,0.57%,0.93%,2.73%,0.99%,39831.93962,,,,0.660935439,738416.24,,0.074044243,82724.37539,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2006",Alabama,2006,4628981,1126798,68.42%,26.04%,0.58%,0.97%,2.98%,1.04%,40620.32616,,,,0.660935439,744740.7313,,0.074044243,83432.90475,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2007",Alabama,2007,4672840,1132296,68.08%,26.04%,0.58%,1.01%,3.22%,1.08%,40232.37993,,,,0.660935439,748374.5543,83840,0.074044243,83840,0.112029464,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2008",Alabama,2008,4718206,1134927,67.71%,26.07%,0.59%,1.05%,3.47%,1.13%,42946.0715,,,,0.660935439,750113.4755,,0.079153436,89833.37172,0.119759709,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2009",Alabama,2009,4757938,1134192,67.37%,26.06%,0.60%,1.10%,3.71%,1.18%,42651.59894,,,,0.660935439,749627.6879,95570,0.084262629,95570,0.127489955,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2010",Alabama,2010,4785514,1130439,67.05%,26.11%,0.61%,1.13%,3.90%,1.22%,40474,68.4%,62.76%,,0.660935439,747147.1972,,0.07819599,88395.79666,0.118311086,,,,,,,,,,,,,,,,,,,,,,
