placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/72001,Adjuntas Municipio,2011,19514,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2012,19458,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2013,19334,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2014,19188,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2015,18962,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2016,18760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2017,18525,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2018,18181,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2019,17891,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72001,Adjuntas Municipio,2020,17614,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2011,42082,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2012,41876,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2013,41595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2014,41176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2015,40603,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2016,40083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2017,39470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2018,38643,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2019,37954,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72003,Aguada Municipio,2020,37307,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2011,61384,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2012,60714,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2013,59982,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2014,59068,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2015,57973,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2016,56893,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2017,55722,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2018,54166,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2019,52803,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72005,Aguadilla Municipio,2020,51552,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2011,28745,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2012,28573,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2013,28378,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2014,28083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2015,27693,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2016,27323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2017,26855,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2018,26275,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2019,25748,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72007,Aguas Buenas Municipio,2020,25298,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2011,26011,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2012,25823,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2013,25560,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2014,25241,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2015,24829,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2016,24438,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2017,24008,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2018,23457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2019,22988,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72009,Aibonito Municipio,2020,22545,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2011,29266,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2012,29236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2013,29086,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2014,28874,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2015,28579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2016,28250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2017,27892,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2018,27368,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2019,26934,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72011,A?asco Municipio,2020,26555,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2011,96984,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2012,96176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2013,95185,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2014,93969,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2015,92511,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2016,91096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2017,89550,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2018,87242,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2019,85390,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72013,Arecibo Municipio,2020,83682,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2011,19601,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2012,19542,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2013,19443,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2014,19255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2015,19018,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2016,18778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2017,18504,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2018,18111,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2019,17805,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72015,Arroyo Municipio,2020,17502,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2011,24685,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2012,24815,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2013,24884,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2014,24908,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2015,24775,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2016,24699,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2017,24583,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2018,24299,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2019,24079,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72017,Barceloneta Municipio,2020,23913,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2011,30317,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2012,30322,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2013,30218,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2014,30045,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2015,29805,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2016,29548,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2017,29237,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2018,28755,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2019,28393,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72019,Barranquitas Municipio,2020,28026,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2011,209900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2012,207337,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2013,204725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2014,201273,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2015,197287,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2016,192974,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2017,188614,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2018,182955,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2019,178192,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72021,Bayam¨®n Municipio,2020,173695,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2011,50733,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2012,50866,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2013,50869,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2014,50706,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2015,50380,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2016,50096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2017,49726,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2018,49005,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2019,48487,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72023,Cabo Rojo Municipio,2020,47977,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2011,143087,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2012,142549,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2013,141600,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2014,140166,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2015,138262,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72025,Caguas Municipio,2016,136372,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
