State,Year,Total_Population,Source:Count_Person
Alabama,1990,4048508,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1991,4091025,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1992,4139269,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1993,4193114,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1994,4232965,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1995,4262731,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1996,4290403,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1997,4320281,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1998,4351037,https://www2.census.gov/programs-surveys/popest/tables
Alabama,1999,4369862,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2000,4452173,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2001,4467634,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2002,4480089,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2003,4503491,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2004,4530729,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2005,4569805,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2006,4628981,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2007,4672840,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2008,4718206,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2009,4757938,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2010,4785514,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2011,4799642,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2012,4816632,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2013,4831586,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2014,4843737,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2015,4854803,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2016,4866824,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2017,4877989,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2018,4891628,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2019,4907965,https://www2.census.gov/programs-surveys/popest/tables
Alabama,2020,4921532,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1990,553120,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1991,569273,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1992,587073,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1993,596993,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1994,600624,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1995,601345,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1996,604918,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1997,608846,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1998,615205,https://www2.census.gov/programs-surveys/popest/tables
Alaska,1999,619500,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2000,627963,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2001,633714,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2002,642337,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2003,648414,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2004,659286,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2005,666946,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2006,675302,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2007,680300,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2008,687455,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2009,698895,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2010,713982,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2011,722349,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2012,730810,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2013,737626,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2014,737075,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2015,738430,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2016,742575,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2017,740983,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2018,736624,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2019,733603,https://www2.census.gov/programs-surveys/popest/tables
Alaska,2020,731158,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1990,3679056,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1991,3762394,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1992,3867333,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1993,3993390,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1994,4147561,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1995,4306908,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1996,4432308,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1997,4552207,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1998,4667277,https://www2.census.gov/programs-surveys/popest/tables
Arizona,1999,4778332,https://www2.census.gov/programs-surveys/popest/tables
Arizona,2000,5160586,https://www2.census.gov/programs-surveys/popest/tables
