FIPS,Name,Type,TimeFrame,Data
1,Alabama,State,2000,0.252
1,Alabama,State,2001,0.251
1,Alabama,State,2002,0.249
1,Alabama,State,2003,0.247
1,Alabama,State,2004,0.246
1,Alabama,State,2005,0.244
1,Alabama,State,2006,0.243
1,Alabama,State,2007,0.242
1,Alabama,State,2008,0.241
1,Alabama,State,2009,0.238
1,Alabama,State,2010,0.236
1,Alabama,State,2011,0.234
1,Alabama,State,2012,0.232
1,Alabama,State,2013,0.23
1,Alabama,State,2014,0.228
1,Alabama,State,2015,0.227
1,Alabama,State,2016,0.226
1,Alabama,State,2017,0.225
1,Alabama,State,2018,0.223
1,Alabama,State,2019,0.222
2,Alaska,State,2000,0.304
2,Alaska,State,2001,0.298
2,Alaska,State,2002,0.293
2,Alaska,State,2003,0.288
2,Alaska,State,2004,0.283
2,Alaska,State,2005,0.278
2,Alaska,State,2006,0.275
2,Alaska,State,2007,0.271
2,Alaska,State,2008,0.266
2,Alaska,State,2009,0.267
2,Alaska,State,2010,0.263
2,Alaska,State,2011,0.261
2,Alaska,State,2012,0.258
2,Alaska,State,2013,0.256
2,Alaska,State,2014,0.254
2,Alaska,State,2015,0.252
2,Alaska,State,2016,0.252
2,Alaska,State,2017,0.251
2,Alaska,State,2018,0.249
2,Alaska,State,2019,0.246
4,Arizona,State,2000,0.266
4,Arizona,State,2001,0.265
4,Arizona,State,2002,0.265
4,Arizona,State,2003,0.264
4,Arizona,State,2004,0.263
4,Arizona,State,2005,0.262
4,Arizona,State,2006,0.261
4,Arizona,State,2007,0.261
4,Arizona,State,2008,0.259
4,Arizona,State,2009,0.257
4,Arizona,State,2010,0.254
4,Arizona,State,2011,0.25
4,Arizona,State,2012,0.247
4,Arizona,State,2013,0.244
4,Arizona,State,2014,0.241
4,Arizona,State,2015,0.238
4,Arizona,State,2016,0.236
4,Arizona,State,2017,0.232
4,Arizona,State,2018,0.229
4,Arizona,State,2019,0.225
5,Arkansas,State,2000,0.254
5,Arkansas,State,2001,0.252
5,Arkansas,State,2002,0.251
5,Arkansas,State,2003,0.249
5,Arkansas,State,2004,0.248
5,Arkansas,State,2005,0.248
5,Arkansas,State,2006,0.247
5,Arkansas,State,2007,0.247
5,Arkansas,State,2008,0.246
5,Arkansas,State,2009,0.244
5,Arkansas,State,2010,0.244
5,Arkansas,State,2011,0.242
5,Arkansas,State,2012,0.241
5,Arkansas,State,2013,0.24
5,Arkansas,State,2014,0.238
5,Arkansas,State,2015,0.237
5,Arkansas,State,2016,0.236
5,Arkansas,State,2017,0.235
5,Arkansas,State,2018,0.233
5,Arkansas,State,2019,0.232
6,California,State,2000,0.273
6,California,State,2001,0.27
6,California,State,2002,0.269
6,California,State,2003,0.267
6,California,State,2004,0.265
6,California,State,2005,0.263
6,California,State,2006,0.26
6,California,State,2007,0.258
6,California,State,2008,0.255
6,California,State,2009,0.251
6,California,State,2010,0.249
6,California,State,2011,0.246
6,California,State,2012,0.242
6,California,State,2013,0.239
6,California,State,2014,0.237
6,California,State,2015,0.234
6,California,State,2016,0.232
6,California,State,2017,0.23
6,California,State,2018,0.227
6,California,State,2019,0.225
8,Colorado,State,2000,0.256
8,Colorado,State,2001,0.255
8,Colorado,State,2002,0.253
8,Colorado,State,2003,0.253
8,Colorado,State,2004,0.251
8,Colorado,State,2005,0.25
8,Colorado,State,2006,0.248
8,Colorado,State,2007,0.248
8,Colorado,State,2008,0.246
8,Colorado,State,2009,0.245
8,Colorado,State,2010,0.243
8,Colorado,State,2011,0.241
8,Colorado,State,2012,0.238
