STATE,YEAR,Abortion Rate per 1000 People,"Abortion Rate per 100,000 People (Adjusted)(Age:15-19)",Birth Rate per 1000 People,"Birth Rate per 100,000 People (Adjusted)(Age:15-19)",Pregnancy Rate per 1000 People,"Pregnancy Rate per 100,000 People (Adjusted)(Age:15-19)","HIV Rate per 100,000 People","HIV Rate per 100,000 People (Adjusted)(Age:13-24)","STD Rate per 100,000 People","STD Rate per 100,000 People (Adjusted)(Age:Under 19)"
Alabama,1988,31.4,-463.4,63.3,1186.078431,110.5,971.8,,,,
Alaska,1988,35.9,-13.4,55.6,416.0784314,106.3,551.8,,,,
Arizona,1988,39.4,336.6,69.4,1796.078431,126.6,2581.8,,,,
Arkansas,1988,27.2,-883.4,71.6,2016.078431,115.9,1511.8,,,,
California,1988,75,3896.6,58.4,696.0784314,152.5,5171.8,,,,
Colorado,1988,38.4,236.6,48.7,-273.9215686,100.6,-18.2,,,,
Connecticut,1988,55.3,1926.6,35,-1643.921569,102.8,201.8,,,,
Delaware,1988,49,1296.6,53.1,166.0784314,117.6,1681.8,,,,
District of Columbia,1988,,0,75.6,2416.078431,,0,,,,
Florida,1988,51.1,1506.6,62.4,1096.078431,131.1,3031.8,,,,
Georgia,1988,35.7,-33.4,68.2,1676.078431,121.1,2031.8,,,,
Hawaii,1988,65.9,2986.6,49,-243.9215686,131.3,3051.8,,,,
Idaho,1988,17.7,-1833.4,46.5,-493.9215686,75.4,-2538.2,,,,
Illinois,1988,42.2,616.6,54,256.0784314,111.2,1041.8,,,,
Indiana,1988,24.5,-1153.4,52.4,96.07843137,89.7,-1108.2,,,,
Iowa,1988,26.7,-933.4,34.1,-1733.921569,70.3,-3048.2,,,,
Kansas,1988,26.8,-923.4,50.8,-63.92156863,90.4,-1038.2,,,,
Kentucky,1988,21.9,-1413.4,60.8,936.0784314,97.2,-358.2,,,,
Louisiana,1988,22.7,-1333.4,68.4,1696.078431,107.1,631.8,,,,
Maine,1988,29.1,-693.4,41.1,-1033.921569,81.3,-1948.2,,,,
Maryland,1988,58.5,2246.6,49.8,-163.9215686,124,2321.8,,,,
Massachusetts,1988,51.3,1526.6,32,-1943.921569,94.9,-588.2,,,,
Michigan,1988,47.3,1126.6,47,-443.9215686,108.4,761.8,,,,
Minnesota,1988,28.7,-733.4,31.2,-2023.921569,69,-3178.2,,,,
Mississippi,1988,16,-2003.4,74,2256.078431,106.4,561.8,,,,
Missouri,1988,29.9,-613.4,55.5,406.0784314,99.4,-138.2,,,,
Montana,1988,23.9,-1213.4,40.2,-1123.921569,74.6,-2618.2,,,,
Nebraska,1988,27.9,-813.4,38.5,-1293.921569,76.9,-2388.2,,,,
Nevada,1988,56.9,2086.6,64,1256.078431,139.4,3861.8,,,,
New Hampshire,1988,44.5,846.6,32.6,-1883.921569,88.1,-1268.2,,,,
New Jersey,1988,57,2096.6,37.9,-1353.921569,108.2,741.8,,,,
New Mexico,1988,34.3,-173.4,72.4,2096.078431,124.6,2381.8,,,,
New York,1988,59.3,2326.6,39.6,-1183.921569,112.8,1201.8,,,,
North Carolina,1988,43.6,756.6,60.9,946.0784314,121,2021.8,,,,
North Dakota,1988,18.8,-1723.4,32.3,-1913.921569,59.4,-4138.2,,,,
Ohio,1988,30.3,-573.4,51.8,36.07843137,95.5,-528.2,,,,
Oklahoma,1988,27.3,-873.4,63.5,1206.078431,106.2,541.8,,,,
Oregon,1988,42.5,646.6,47.9,-353.9215686,104.2,341.8,,,,
Pennsylvania,1988,33,-303.4,41.3,-1013.921569,85.8,-1498.2,,,,
Rhode Island,1988,35.7,-33.4,38.3,-1313.921569,85.2,-1558.2,,,,
South Carolina,1988,32.6,-343.4,65.1,1366.078431,114,1321.8,,,,
South Dakota,1988,15.1,-2093.4,46.1,-533.9215686,72,-2878.2,,,,
Tennessee,1988,30.1,-593.4,64.3,1286.078431,110.3,951.8,,,,
Texas,1988,30.4,-563.4,69.1,1766.078431,116.3,1551.8,,,,
Utah,1988,15.5,-2053.4,46,-543.9215686,72.3,-2848.2,,,,
Vermont,1988,36.8,76.6,33.6,-1783.921569,80.8,-1998.2,,,,
Virginia,1988,44.6,856.6,45.5,-593.9215686,103.7,291.8,,,,
Washington,1988,45.7,966.6,47.1,-433.9215686,106.8,601.8,,,,
West Virginia,1988,16.8,-1923.4,49.9,-153.9215686,78.3,-2248.2,,,,
Wisconsin,1988,28.3,-773.4,38.3,-1313.921569,77,-2378.2,,,,
Wyoming,1988,23.2,-1283.4,49.3,-213.9215686,84.7,-1608.2,,,,
Alabama,1989,30.35,-403.95,65.475,1254.313725,111.975,1136,,,,
Alaska,1989,34.425,3.55,58,506.8137255,107.525,691,,,,
Arizona,1989,37.45,306.05,72.1,1916.813725,127.7,2708.5,,,,
Arkansas,1989,26.2,-818.95,72.4,1946.813725,115.75,1513.5,,,,
California,1989,71.9,3751.05,62,906.8137255,153.425,5281,,,,
Colorado,1989,38.1,371.05,51.125,-180.6862745,103.2,258.5,,,,
Connecticut,1989,52.5,1811.05,36,-1693.186275,100.925,31,,,,
Delaware,1989,47.625,1323.55,54.5,156.8137255,117.75,1713.5,,,,
District of Columbia,1989,,0,83.375,3044.313725,,0,,,,
Florida,1989,48.775,1438.55,63.1,1016.813725,129.4,2878.5,,,,
Georgia,1989,35.225,83.55,69.7,1676.813725,122.375,2176,,,,
Hawaii,1989,66.425,3203.55,50.3,-263.1862745,133.425,3281,,,,
Idaho,1989,16.775,-1761.45,47.75,-518.1862745,75.875,-2474,,,,
Illinois,1989,39.675,528.55,56.25,331.8137255,111.125,1051,,,,
Indiana,1989,23.875,-1051.45,53.925,99.31372549,90.875,-974,,,,
Iowa,1989,24.05,-1033.95,35.7,-1723.186275,69.3,-3131.5,,,,
Kansas,1989,25.45,-893.95,52,-93.18627451,90.375,-1024,,,,
Kentucky,1989,21.25,-1313.95,61.8,886.8137255,97.65,-296.5,,,,
