,FIPS,State,County
0,1001,Alabama,Autauga
1,1003,Alabama,Baldwin
2,1005,Alabama,Barbour
3,1007,Alabama,Bibb
4,1009,Alabama,Blount
5,1011,Alabama,Bullock
6,1013,Alabama,Butler
7,1015,Alabama,Calhoun
8,1017,Alabama,Chambers
9,1019,Alabama,Cherokee
10,1021,Alabama,Chilton
11,1023,Alabama,Choctaw
12,1025,Alabama,Clarke
13,1027,Alabama,Clay
14,1029,Alabama,Cleburne
15,1031,Alabama,Coffee
16,1033,Alabama,Colbert
17,1035,Alabama,Conecuh
18,1037,Alabama,Coosa
19,1039,Alabama,Covington
20,1041,Alabama,Crenshaw
21,1043,Alabama,Cullman
22,1045,Alabama,Dale
23,1047,Alabama,Dallas
24,1049,Alabama,DeKalb
25,1051,Alabama,Elmore
26,1053,Alabama,Escambia
27,1055,Alabama,Etowah
28,1057,Alabama,Fayette
29,1059,Alabama,Franklin
30,1061,Alabama,Geneva
31,1063,Alabama,Greene
32,1065,Alabama,Hale
33,1067,Alabama,Henry
34,1069,Alabama,Houston
35,1071,Alabama,Jackson
36,1073,Alabama,Jefferson
37,1075,Alabama,Lamar
38,1077,Alabama,Lauderdale
39,1079,Alabama,Lawrence
40,1081,Alabama,Lee
41,1083,Alabama,Limestone
42,1085,Alabama,Lowndes
43,1087,Alabama,Macon
44,1089,Alabama,Madison
45,1091,Alabama,Marengo
46,1093,Alabama,Marion
47,1095,Alabama,Marshall
48,1097,Alabama,Mobile
49,1099,Alabama,Monroe
50,1101,Alabama,Montgomery
51,1103,Alabama,Morgan
52,1105,Alabama,Perry
53,1107,Alabama,Pickens
54,1109,Alabama,Pike
55,1111,Alabama,Randolph
56,1113,Alabama,Russell
57,1115,Alabama,St. Clair
58,1117,Alabama,Shelby
59,1119,Alabama,Sumter
60,1121,Alabama,Talladega
61,1123,Alabama,Tallapoosa
62,1125,Alabama,Tuscaloosa
63,1127,Alabama,Walker
64,1129,Alabama,Washington
65,1131,Alabama,Wilcox
66,1133,Alabama,Winston
67,2013,Alaska,Aleutians East
68,2016,Alaska,Aleutians West
69,2020,Alaska,Anchorage
70,2050,Alaska,Bethel
71,2060,Alaska,Bristol Bay
72,2068,Alaska,Denali
73,2070,Alaska,Dillingham
74,2090,Alaska,Fairbanks North Star
75,2100,Alaska,Haines
76,2105,Alaska,Hoonah-Angoon
77,2110,Alaska,Juneau
78,2122,Alaska,Kenai Peninsula
79,2130,Alaska,Ketchikan Gateway
80,2150,Alaska,Kodiak Island
81,2158,Alaska,Kusilvak
82,2164,Alaska,Lake and Peninsula
83,2170,Alaska,Matanuska-Susitna
84,2180,Alaska,Nome
85,2185,Alaska,North Slope
86,2188,Alaska,Northwest Arctic
87,2195,Alaska,Petersburg
88,2198,Alaska,Prince of Wales-Hyder
89,2220,Alaska,Sitka
90,2230,Alaska,Skagway
91,2240,Alaska,Southeast Fairbanks
92,2261,Alaska,Valdez-Cordova
93,2275,Alaska,Wrangell
94,2282,Alaska,Yakutat
95,2290,Alaska,Yukon-Koyukuk
96,4001,Arizona,Apache
97,4003,Arizona,Cochise
98,4005,Arizona,Coconino
99,4007,Arizona,Gila
100,4009,Arizona,Graham
101,4011,Arizona,Greenlee
102,4012,Arizona,La Paz
103,4013,Arizona,Maricopa
104,4015,Arizona,Mohave
105,4017,Arizona,Navajo
106,4019,Arizona,Pima
107,4021,Arizona,Pinal
108,4023,Arizona,Santa Cruz
109,4025,Arizona,Yavapai
110,4027,Arizona,Yuma
111,5001,Arkansas,Arkansas
112,5003,Arkansas,Ashley
113,5005,Arkansas,Baxter
114,5007,Arkansas,Benton
115,5009,Arkansas,Boone
116,5011,Arkansas,Bradley
117,5013,Arkansas,Calhoun
118,5015,Arkansas,Carroll
119,5017,Arkansas,Chicot
120,5019,Arkansas,Clark
121,5021,Arkansas,Clay
122,5023,Arkansas,Cleburne
123,5025,Arkansas,Cleveland
124,5027,Arkansas,Columbia
125,5029,Arkansas,Conway
126,5031,Arkansas,Craighead
127,5033,Arkansas,Crawford
128,5035,Arkansas,Crittenden
129,5037,Arkansas,Cross
130,5039,Arkansas,Dallas
131,5041,Arkansas,Desha
132,5043,Arkansas,Drew
133,5045,Arkansas,Faulkner
134,5047,Arkansas,Franklin
135,5049,Arkansas,Fulton
136,5051,Arkansas,Garland
137,5053,Arkansas,Grant
138,5055,Arkansas,Greene
139,5057,Arkansas,Hempstead
140,5059,Arkansas,Hot Spring
141,5061,Arkansas,Howard
142,5063,Arkansas,Independence
143,5065,Arkansas,Izard
144,5067,Arkansas,Jackson
145,5069,Arkansas,Jefferson
146,5071,Arkansas,Johnson
147,5073,Arkansas,Lafayette
148,5075,Arkansas,Lawrence
149,5077,Arkansas,Lee
150,5079,Arkansas,Lincoln
151,5081,Arkansas,Little River
152,5083,Arkansas,Logan
153,5085,Arkansas,Lonoke
154,5087,Arkansas,Madison
155,5089,Arkansas,Marion
156,5091,Arkansas,Miller
157,5093,Arkansas,Mississippi
