County,Total Domestic,Spouse,Former Spouse,Child in Common,Blood Related,Related by Marriage,Residing Together,Reside in Past,Social Intimate Relationship
Adair,320,56,6,31,55,7,114,11,40
Andrew,55,22,0,6,6,1,12,3,5
Atchison,22,3,1,1,2,2,10,1,2
Audrain,498,107,12,9,84,11,31,1,243
Barry,394,109,9,7,89,10,143,9,18
Barton,92,13,1,8,23,5,27,8,7
Bates,92,24,5,6,16,1,37,1,2
Benton,176,49,2,13,38,3,27,9,35
Bollinger,54,17,3,7,10,2,10,1,4
Boone,1366,167,31,256,192,36,237,62,385
Buchanan,1274,93,45,87,241,81,111,38,578
Butler,563,100,12,20,140,11,65,11,204
Caldwell,66,15,0,6,21,0,16,4,4
Callaway,601,84,6,41,160,17,190,9,94
Camden,559,99,28,32,172,27,98,25,78
Cape Girardeau,489,85,8,81,85,11,104,4,111
Carroll,58,12,3,6,19,4,7,1,6
Carter,12,1,0,2,4,1,4,0,0
Cass,921,196,24,95,215,36,199,34,122
Cedar,35,7,2,4,5,3,5,4,5
Chariton,31,12,0,5,4,1,7,1,1
Christian,426,93,11,19,107,10,63,16,107
Clark,32,3,1,6,3,2,8,4,5
Clay,749,129,14,80,189,23,141,35,138
Clinton,239,61,6,14,58,3,52,14,31
Cole,485,49,8,53,82,17,66,23,187
Cooper,56,9,0,2,19,1,15,1,9
Crawford,295,57,5,30,80,4,64,3,52
Dade,35,3,0,5,13,2,9,1,2
Dallas,112,18,6,11,36,2,5,15,19
Daviess,18,6,0,2,4,1,4,1,0
DeKalb,7,1,0,1,3,1,0,0,1
Dent,55,18,4,1,10,3,15,2,2
Douglas,10,1,0,2,1,0,1,0,5
Dunklin,358,61,5,41,75,16,59,19,82
Franklin,612,158,14,43,121,14,153,9,100
Gasconade,50,13,1,5,17,0,5,2,7
Greene,3529,558,43,316,858,90,1178,135,351
Grundy,115,24,4,8,28,3,32,3,13
Harrison,19,7,1,0,2,1,8,0,0
Henry,56,4,3,11,13,2,5,4,14
Hickory,8,3,0,1,1,0,3,0,0
Holt,15,5,0,0,3,0,5,0,2
Howard,40,7,1,2,11,0,9,3,7
Howell,234,57,5,22,35,21,55,9,30
Iron,42,10,4,6,1,0,15,1,5
Jackson,9826,1212,201,1546,2081,252,1340,211,2983
Jasper,1614,288,45,145,283,45,348,46,414
Jefferson,1303,269,29,110,281,26,360,17,211
Johnson,287,56,3,27,45,6,77,15,58
Knox,3,1,0,0,1,0,0,0,1
Laclede,450,104,9,32,86,10,97,22,90
Lafayette,184,44,8,17,27,5,52,4,27
Lawrence,141,31,8,0,41,5,33,2,21
Lewis,60,12,1,16,12,3,13,1,2
Lincoln,235,53,4,14,50,7,65,5,37
Linn,87,27,0,7,26,4,15,3,5
Livingston,74,7,1,9,24,1,14,3,15
Macon,112,16,4,11,31,5,28,3,14
Madison,113,35,1,10,16,4,32,0,15
Maries,39,9,1,3,8,1,11,4,2
Marion,277,65,1,17,66,10,9,1,108
McDonald,479,245,16,30,54,10,116,2,6
Mercer,3,2,0,1,0,0,0,0,0
Miller,218,23,3,25,32,20,58,23,34
Mississippi,59,10,0,6,11,1,11,1,19
Moniteau,46,16,2,3,9,0,13,1,2
Monroe,66,21,3,13,8,1,8,3,9
Montgomery,76,18,1,3,22,0,31,1,0
Morgan,311,55,5,22,88,18,68,17,38
New Madrid,63,13,5,5,15,3,14,2,6
Newton,412,109,4,12,103,7,121,9,47
Nodaway,70,17,0,11,16,0,5,2,19
Oregon,26,7,2,1,3,0,8,1,4
Osage,35,4,4,2,7,1,11,1,5
Ozark,34,7,0,7,6,5,2,1,6
Pemiscot,232,35,1,19,53,3,36,9,76
Perry,112,30,3,10,17,10,19,1,22
Pettis,503,66,7,82,106,13,80,63,86
Phelps,110,24,8,10,19,4,27,7,11
Pike,121,17,2,19,31,6,13,5,28
Platte,187,42,6,15,54,6,37,3,24
Polk,331,64,13,17,98,12,29,7,91
Pulaski,125,30,5,3,20,2,27,7,31
Putnam,11,2,0,0,1,0,5,1,2
Ralls,29,6,3,2,13,3,2,0,0
Randolph,135,23,0,22,26,3,5,0,56
Ray,342,36,7,38,78,11,103,30,39
Reynolds,7,3,0,1,0,0,2,0,1
Ripley,171,37,10,9,28,3,52,2,30
Saline,127,25,0,9,28,3,19,3,40
Schuyler,15,3,0,0,1,0,10,1,0
Scotland,14,2,0,2,3,0,0,0,7
Scott,565,108,14,46,134,7,141,16,99
Shannon,10,2,4,0,2,0,0,1,1
Shelby,2,1,0,0,0,0,0,1,0
St. Charles,1576,275,24,127,444,55,313,29,309
St. Clair,41,4,0,4,8,3,10,1,11
St. Francois,238,68,18,13,41,9,56,21,12
St. Louis,4009,628,52,705,765,45,554,124,1136
St. Louis City,2228,155,19,530,388,41,329,55,711
State Agency / Task Forces,35,7,0,2,4,2,0,1,19
Ste. Genevieve,90,22,3,5,26,3,10,1,20
Stoddard,162,50,2,7,31,4,36,7,25
Stone,317,48,6,44,90,21,19,7,82
Sullivan,25,11,0,0,5,1,6,0,2
Taney,553,113,11,48,110,8,173,7,83
Texas,255,77,14,20,41,10,76,3,14
Vernon,157,34,4,12,43,4,22,10,28
Warren,432,86,8,53,134,9,94,13,35
Washington,75,37,0,0,18,1,8,3,8
Wayne,60,11,0,3,4,8,30,1,3
Webster,153,41,4,8,38,4,31,3,24
Worth,13,3,0,1,2,1,4,2,0
Wright,2,1,0,0,0,0,0,0,1
