STATE,SEX EDUCATION MANDATED,HIV EDUCATION MANDATED,Be Medically Accurate,Be Age Appropriate,Be Culturally Appropriate and Unbiased,Cannot Promote Religion,Notice: Parental Role,Consent: Parental Role,Opt-out allowed: Parental Role
Alabama,,X,,X,,,,,   X  
Alaska,,,,,,,X,,X
Arizona,,,HIV,X,,,X,Sex,   HIV
California,X,X,X,X,X,X,X,,X
Colorado,,,X,X,X,X,X,,X
Connecticut,,X,,,,,,,X
Delaware,X,X,,,,,,,
Dist. of Columbia,X,X,,X,,,X,,X
Florida,X,X,,X,,,,,X
Georgia,X,X,,,,,X,,X
Hawaii,X,X,X,X,,,,,X
Idaho,,,,,,,,,X
Illinois,,X,X,X, X, X,,,X
Indiana,,X,,,,,X,,X
Iowa,X,,X,X,X,,X,,X
Kansas,X,,,,,,,,
Kentucky,X,X,,,,,,,
Louisiana,,,X,,,X,,,X
Maine,X,X,X,X,,,,,X
Maryland,X,X,,,,,X,,X
Massachusetts,,,,,X,,X,,X
Michigan,,X,,,,,X,,X
Minnesota,X,X,,,,,,,
Mississippi,X,,,X,,,X,X,
Missouri,,X,X,X,,,X,,X
Montana,X,X,,X,,,,, X
Nevada,X,X,,X,,,X,X,
New Hampshire,X,X,,,,,X,,X
New Jersey,X,X,X,X,X,,X,,X
New Mexico,X,X,,X,,,,,X
New York,,X,,HIV,,,,,HIV
North Carolina,X,X,X,X,,,,,
North Dakota,X,X,,,,,,,
Ohio,X,X,,,,,,,X
Oklahoma,,X,HIV,,,,X,,X
Oregon,X,X,X,X,X,,X,,X
Pennsylvania,,X,,HIV,,,HIV,,HIV
Rhode Island,X,X,X,X,X,,,,HIV
South Carolina,X,X,,X,,,X,,X
Tennessee,X,X,X,X,X,,X,X,
Texas,,,,X,,,X, X,
Utah,X,X,X,,,,X,X,
Vermont,X,X,,X,,,,,HIV
Virginia,,,X,X,,,X,,X
Washington,X ,X,X,X,X,,X,,X
West Virginia,X,X,,,,,,,X
Wisconsin,,X,,,,,X,,X
