State,Healthy relationships,Sexual decision-making and self-discipline,Refusal skills and personal boundaries,Consent,Dating and sexual violence prevention
Alabama,,X,X,,X
Alaska,,,,,X
Arizona,X,X,X,,X
Arkansas,X,X,X,,X
California,X,X,X,,X
Colorado,X,X,X,X,X
Connecticut,X,X,,,X
Delaware,X,X,X,X,X
Dist. of Columbia,X,X,X,X,X
Florida,X,X,,,X
Georgia,,,X,,X
Hawaii,X,X,,, X
Idaho,X,X,,,
Illinois,X,,X,X,X
Indiana,,,,,X
Iowa,X,,,,X
Kentucky,X,X,,,
Louisiana,X,X,,,X
Maine,X,X,,,X
Maryland,X,X,X,X,X
Massachusetts,X,,,,X
Michigan,,X,X,,X
Mississippi,,,,,X
Missouri,,X,X,X,X
Nebraska,X,,,,X
Nevada,,X,,,
New Hampshire,,,,,X
New Jersey,X,X,X,X,X
New Mexico,X,X,X,,X
North Carolina,X,X,X,,X
Ohio,X,,,,X
Oklahoma,,,X, X,
Oregon,X,X,X,X,X
Pennsylvania,X,,,,
Rhode Island,X,X,X,,X
South Carolina,X,,X,X,X
Tennessee,X,X,X,,X
Texas,X,X,X,,X
Utah,,,X,,X
Vermont,X,X,,,X
Virginia,X,X,X,,X
Washington,X,X,X,X ,X
West Virginia,X,,X,,X
Wisconsin,,,,,X
