County,Total Pregnancies (Under 20),Total Pregnancies (Under 18),Total Pregnancies (18-19),Abortions (Under 20),Abortions (Under 18),Abortions (18-19)
Adair,13,2,11,2,0,2
Andrew,5,2,3,0,0,0
Atchison,1,0,1,0,0,0
Audrain,16,3,13,0,0,0
Barry,44,7,37,2,1,1
Barton,9,2,7,0,0,0
Bates,13,3,10,0,0,0
Benton,12,3,9,2,1,1
Bollinger,6,1,5,0,0,0
Boone,92,27,65,10,4,6
Buchanan,85,21,64,8,3,5
Butler,56,20,36,0,0,0
Caldwell,7,0,7,1,0,1
Callaway,29,5,24,4,2,2
Camden,24,6,18,2,1,1
Cape Girardeau,46,11,35,3,2,1
Carroll,11,3,8,1,1,0
Carter,7,1,6,0,0,0
Cass,75,16,59,17,4,13
Cedar,14,4,10,3,1,2
Chariton,4,2,2,0,0,0
Christian,49,6,43,5,2,3
Clark,3,1,2,0,0,0
Clay,119,36,83,23,10,13
Clinton,18,2,16,0,0,0
Cole,49,7,42,4,3,1
Cooper,12,0,12,0,0,0
Crawford,18,4,14,0,0,0
Dade,3,1,2,0,0,0
Dallas,12,3,9,0,0,0
Dav iess,7,4,3,1,0,1
Dekalb,4,0,4,1,0,1
Dent,9,2,7,0,0,0
Douglas,10,2,8,0,0,0
Dunklin,44,9,35,2,0,2
Franklin,67,17,50,1,1,0
Gasconade,4,1,3,0,0,0
Gentry,7,1,6,0,0,0
Greene,230,49,181,16,4,12
Grundy,6,1,5,2,0,2
Harrison,3,1,2,0,0,0
Henry,32,10,22,1,0,1
Hickory,4,0,4,0,0,0
Holt,2,0,2,0,0,0
How ard,7,0,7,0,0,0
How ell,42,13,29,0,0,0
Iron,14,4,10,0,0,0
Jackson,689,182,507,145,39,106
Jasper,162,38,124,8,2,6
Jefferson,96,20,76,4,0,4
Johnson,36,4,32,4,1,3
Knox,3,1,2,0,0,0
Laclede,43,7,36,0,0,0
Lafayette,29,5,24,0,0,0
Lawrence,34,7,27,1,0,1
Lew is,2,0,2,0,0,0
Lincoln,31,7,24,1,0,1
Linn,9,3,6,0,0,0
Liv ingston,9,2,7,1,0,1
Macon,12,2,10,1,0,1
Madison,9,1,8,0,0,0
Maries,3,0,3,0,0,0
Marion,23,4,19,1,0,1
McDonald,30,5,25,1,0,1
Mercer,1,0,1,0,0,0
Miller,17,2,15,0,0,0
Mississippi,23,4,19,1,1,0
Moniteau,12,3,9,1,0,1
Monroe,5,0,5,0,0,0
Montgomery,12,3,9,0,0,0
Morgan,15,1,14,0,0,0
New Madrid,23,6,17,0,0,0
New ton,55,10,45,1,0,1
Nodaw ay,9,3,6,3,1,2
Oregon,7,1,6,0,0,0
Osage,3,1,2,0,0,0
Ozark,3,2,1,0,0,0
Pemiscot,33,8,25,2,0,2
Perry,12,2,10,0,0,0
Pettis,51,11,40,2,0,2
Phelps,20,4,16,2,1,1
Pike,13,1,12,0,0,0
Platte,45,9,36,13,2,11
Polk,32,7,25,0,0,0
Pulaski,38,8,30,2,1,1
Putnam,6,0,6,1,0,1
Ralls,5,1,4,0,0,0
Randolph,26,7,19,1,1,0
Ray,20,4,16,0,0,0
Reynolds,5,1,4,0,0,0
Ripley,11,4,7,0,0,0
Saline,11,2,9,1,0,1
Schuyler,2,1,1,0,0,0
Scotland,2,0,2,0,0,0
Scott,24,6,18,0,0,0
Shannon,6,1,5,0,0,0
Shelby,4,1,3,0,0,0
St. Charles,106,23,83,11,2,9
St. Clair,6,2,4,0,0,0
St. Francois,58,8,50,0,0,0
St. Louis City,252,83,169,25,14,11
St. Louis County,485,140,345,62,24,38
Ste. Genev ieve,13,2,11,0,0,0
Stoddard,34,3,31,1,0,1
Stone,18,7,11,2,1,1
Sulliv an,9,1,8,0,0,0
Taney,53,14,39,6,2,4
Texas,22,3,19,1,0,1
Vernon,24,6,18,3,0,3
Warren,25,5,20,2,2,0
Washington,36,9,27,0,0,0
Wayne,15,2,13,0,0,0
Webster,41,10,31,1,0,1
Worth,1,1,0,0,0,0
Wright,19,3,16,0,0,0
