County,Diagnosis,count
ADAIR,CHLAMYDIA,89
ADAIR,GONORRHEA,37
ADAIR,SYPHILIS,3
ANDREW,CHLAMYDIA,47
ANDREW,GONORRHEA,24
ATCHISON,CHLAMYDIA,5
ATCHISON,GONORRHEA,3
AUDRAIN,CHLAMYDIA,190
AUDRAIN,GONORRHEA,91
AUDRAIN,SYPHILIS,4
BARRY,CHLAMYDIA,108
BARRY,GONORRHEA,36
BARRY,SYPHILIS,4
BARTON,CHLAMYDIA,37
BARTON,GONORRHEA,11
BARTON,SYPHILIS,1
BATES,CHLAMYDIA,32
BATES,GONORRHEA,11
BATES,SYPHILIS,2
BENTON,CHLAMYDIA,27
BENTON,GONORRHEA,14
BENTON,SYPHILIS,5
BOLLINGER,CHLAMYDIA,27
BOLLINGER,GONORRHEA,9
BOLLINGER,SYPHILIS,1
BOONE,CHLAMYDIA,1452
BOONE,GONORRHEA,562
BOONE,SYPHILIS,54
BUCHANAN,CHLAMYDIA,588
BUCHANAN,GONORRHEA,355
BUCHANAN,SYPHILIS,33
BUTLER,CHLAMYDIA,251
BUTLER,GONORRHEA,187
BUTLER,SYPHILIS,16
CALDWELL,CHLAMYDIA,37
CALDWELL,GONORRHEA,9
CALDWELL,SYPHILIS,2
CALLAWAY,CHLAMYDIA,244
CALLAWAY,GONORRHEA,111
CALLAWAY,SYPHILIS,12
CAMDEN,CHLAMYDIA,107
CAMDEN,GONORRHEA,28
CAMDEN,SYPHILIS,3
CAPE GIRARDEAU,CHLAMYDIA,455
CAPE GIRARDEAU,GONORRHEA,233
CAPE GIRARDEAU,SYPHILIS,17
CARROLL,CHLAMYDIA,30
CARROLL,GONORRHEA,9
CARROLL,SYPHILIS,2
CARTER,CHLAMYDIA,12
CARTER,GONORRHEA,9
CARTER,SYPHILIS,1
CASS,CHLAMYDIA,456
CASS,GONORRHEA,171
CASS,SYPHILIS,27
CEDAR,CHLAMYDIA,28
CEDAR,GONORRHEA,7
CHARITON,CHLAMYDIA,8
CHARITON,GONORRHEA,6
CHRISTIAN,CHLAMYDIA,250
CHRISTIAN,GONORRHEA,81
CHRISTIAN,SYPHILIS,10
CLARK,CHLAMYDIA,11
CLARK,GONORRHEA,5
CLAY,CHLAMYDIA,1137
CLAY,GONORRHEA,430
CLAY,SYPHILIS,88
CLINTON,CHLAMYDIA,64
CLINTON,GONORRHEA,24
CLINTON,SYPHILIS,4
COLE,CHLAMYDIA,462
COLE,GONORRHEA,266
COLE,SYPHILIS,46
COOPER,CHLAMYDIA,39
COOPER,GONORRHEA,21
COOPER,SYPHILIS,1
CRAWFORD,CHLAMYDIA,55
CRAWFORD,GONORRHEA,19
CRAWFORD,SYPHILIS,1
DADE,CHLAMYDIA,13
DADE,GONORRHEA,13
DADE,SYPHILIS,1
DALLAS,CHLAMYDIA,31
DALLAS,GONORRHEA,10
DAVIESS,CHLAMYDIA,19
DAVIESS,GONORRHEA,5
DAVIESS,SYPHILIS,1
DEKALB,CHLAMYDIA,17
DEKALB,GONORRHEA,9
DEKALB,SYPHILIS,1
DENT,CHLAMYDIA,37
DENT,GONORRHEA,14
DENT,SYPHILIS,2
DOUGLAS,CHLAMYDIA,36
DOUGLAS,GONORRHEA,8
DUNKLIN,CHLAMYDIA,139
DUNKLIN,GONORRHEA,84
DUNKLIN,SYPHILIS,18
FRANKLIN,CHLAMYDIA,258
FRANKLIN,GONORRHEA,86
FRANKLIN,SYPHILIS,8
GASCONADE,CHLAMYDIA,33
GASCONADE,GONORRHEA,6
GASCONADE,SYPHILIS,1
GENTRY,CHLAMYDIA,13
GENTRY,GONORRHEA,1
GREENE,CHLAMYDIA,2040
GREENE,GONORRHEA,935
GREENE,SYPHILIS,86
GRUNDY,CHLAMYDIA,39
GRUNDY,GONORRHEA,6
HARRISON,CHLAMYDIA,16
HARRISON,GONORRHEA,1
HENRY,CHLAMYDIA,58
HENRY,GONORRHEA,32
HENRY,SYPHILIS,2
HICKORY,CHLAMYDIA,15
HICKORY,GONORRHEA,8
HOLT,CHLAMYDIA,5
HOLT,GONORRHEA,5
HOLT,SYPHILIS,1
HOWARD,CHLAMYDIA,28
HOWARD,GONORRHEA,13
HOWARD,SYPHILIS,1
HOWELL,CHLAMYDIA,150
HOWELL,GONORRHEA,12
HOWELL,SYPHILIS,4
IRON,CHLAMYDIA,28
IRON,GONORRHEA,14
IRON,SYPHILIS,6
JACKSON,CHLAMYDIA,6479
JACKSON,GONORRHEA,3266
JACKSON,SYPHILIS,574
JASPER,CHLAMYDIA,674
JASPER,GONORRHEA,236
JASPER,SYPHILIS,106
JEFFERSON,CHLAMYDIA,606
JEFFERSON,GONORRHEA,224
JEFFERSON,SYPHILIS,26
JOHNSON,CHLAMYDIA,402
JOHNSON,GONORRHEA,108
